layer,component,explained_variance_ratio,cumulative_explained_variance
0,144,0.0014547081664204597,0.5162693101447076
0,145,0.00145213573705405,0.5177214458817616
0,146,0.0014398363418877125,0.5191612822236493
0,147,0.0014299046015366912,0.520591186825186
0,148,0.001426385366357863,0.5220175721915439
0,149,0.001416690880432725,0.5234342630719766
0,150,0.0014126377645879984,0.5248469008365646
0,151,0.0014020514208823442,0.526248952257447
0,152,0.0013851793482899666,0.5276341316057369
0,153,0.001380269997753203,0.5290144016034901
0,154,0.0013693004148080945,0.5303837020182982
0,155,0.0013672857312485576,0.5317509877495468
0,156,0.0013575588818639517,0.5331085466314107
0,157,0.0013539023930206895,0.5344624490244314
0,158,0.0013488623080775142,0.5358113113325089
0,159,0.0013435579603537917,0.5371548692928627
0,160,0.0013324712635949254,0.5384873405564576
0,161,0.001325952704064548,0.5398132932605222
0,162,0.0013231459306553006,0.5411364391911775
0,163,0.00131664436776191,0.5424530835589394
0,164,0.001309442101046443,0.5437625256599858
0,165,0.0013007483212277293,0.5450632739812136
0,166,0.0012994559947401285,0.5463627299759537
0,167,0.0012903595343232155,0.5476530895102769
0,168,0.0012833308428525925,0.5489364203531295
0,169,0.0012779287062585354,0.550214349059388
0,170,0.0012765941210091114,0.5514909431803972
0,171,0.0012670684373006225,0.5527580116176978
0,172,0.0012612981954589486,0.5540193098131567
0,173,0.0012595499865710735,0.5552788597997278
0,174,0.0012519138399511576,0.556530773639679
0,175,0.0012459034333005548,0.5577766770729795
0,176,0.0012446247274056077,0.5590213018003851
0,177,0.0012372572673484683,0.5602585590677336
0,178,0.0012328510638326406,0.5614914101315662
0,179,0.001226177904754877,0.5627175880363211
0,180,0.0012216586619615555,0.5639392466982827
0,181,0.0012162082130089402,0.5651554549112916
0,182,0.0012051990488544106,0.566360653960146
0,183,0.0011995077366009355,0.567560161696747
0,184,0.0011974702356383204,0.5687576319323853
0,185,0.0011929221218451858,0.5699505540542305
0,186,0.0011876699281856418,0.5711382239824161
0,187,0.0011849550064653158,0.5723231789888814
0,188,0.0011805066606029868,0.5735036856494844
0,189,0.0011699674651026726,0.5746736531145871
0,190,0.0011661093449220061,0.5758397624595091
0,191,0.0011599960271269083,0.576999758486636
0,192,0.0011558334808796644,0.5781555919675156
0,193,0.0011494357604533434,0.579305027727969
0,194,0.0011459427187219262,0.5804509704466909
0,195,0.0011413105530664325,0.5815922809997573
0,196,0.0011343805817887187,0.5827266615815461
0,197,0.001124794129282236,0.5838514557108283
0,198,0.001121912500821054,0.5849733682116494
0,199,0.0011201155139133334,0.5860934837255627
0,200,0.0011163090821355581,0.5872097928076982
0,201,0.0011098673567175865,0.5883196601644158
0,202,0.0011042053811252117,0.589423865545541
0,203,0.0011012444738298655,0.5905251100193709
0,204,0.001100416760891676,0.5916255267802626
0,205,0.0010963609674945474,0.5927218877477571
0,206,0.0010936558246612549,0.5938155435724184
0,207,0.001085834694094956,0.5949013782665133
0,208,0.001081943279132247,0.5959833215456456
0,209,0.0010782781755551696,0.5970615997212008
0,210,0.001075472217053175,0.5981370719382539
0,211,0.0010685153538361192,0.5992055872920901
0,212,0.0010632601333782077,0.6002688474254683
0,213,0.0010593526531010866,0.6013282000785694
0,214,0.0010558445937931538,0.6023840446723625
0,215,0.0010538884671404958,0.603437933139503
0,216,0.0010491382563486695,0.6044870713958517
0,217,0.001044377451762557,0.6055314488476142
0,218,0.0010379609884694219,0.6065694098360837
0,219,0.0010343408212065697,0.6076037506572902
0,220,0.0010329382494091988,0.6086366889066994
0,221,0.0010319799184799194,0.6096686688251793
0,222,0.0010257101384922862,0.6106943789636716
0,223,0.0010182339465245605,0.6117126129101962
0,224,0.0010171325411647558,0.6127297454513609
0,225,0.0010143619729205966,0.6137441074242815
0,226,0.0010094356257468462,0.6147535430500284
0,227,0.0010083153611049056,0.6157618584111333
0,228,0.000999507843516767,0.6167613662546501
0,229,0.0009971141116693616,0.6177584803663194
0,230,0.0009960250463336706,0.6187545054126531
0,231,0.0009941192111000419,0.6197486246237531
0,232,0.0009885337203741074,0.6207371583441272
0,233,0.0009868404595181346,0.6217239988036454
0,234,0.000982500845566392,0.6227064996492118
0,235,0.0009786406299099326,0.6236851402791217
0,236,0.0009730999590829015,0.6246582402382046
0,237,0.0009715009364299476,0.6256297411746345
