aggregate_normalized_mse,pilot_resource_overlap_ratio,sample_id
0.8013539686799049,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=10
0.8188260272145271,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=11
0.7982340566813946,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=11
0.828806709498167,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=11
0.8471016623079777,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=12
0.7906116805970669,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=12
0.8394692428410053,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=12
0.9004913344979286,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=13
0.8134562894701958,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=13
0.7824643515050411,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=13
0.7748643942177296,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=14
0.7437781728804111,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=14
0.7955071330070496,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=14
0.8351526185870171,0.5,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=15
0.7599153555929661,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=15
0.826464619487524,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.5:r=15
0.7596631534397602,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=0
0.8374819941818714,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=0
0.7670402526855469,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=0
0.735256265848875,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=1
0.8029531203210354,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=1
0.8594508171081543,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=1
0.7153603602200747,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=2
0.7606664523482323,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=2
0.7745589800179005,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=2
0.7700486816465855,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=3
0.7645047307014465,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=3
0.8074279874563217,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=3
0.826113898307085,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=4
0.823628805577755,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=4
0.8009388446807861,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=4
0.8308010660111904,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=5
0.8830923140048981,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=5
0.8082063384354115,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=5
0.8118512742221355,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=6
0.7979507707059383,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=6
0.8492845632135868,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=6
0.8293561935424805,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=7
0.7543117478489876,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=7
0.8499301448464394,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=7
0.7457237727940083,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=8
0.7817961722612381,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=8
0.8132384903728962,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=8
0.7354288976639509,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=9
0.7769241072237492,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=9
0.8068460822105408,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=9
0.7136143557727337,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=10
0.8290169835090637,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=10
0.8123520500957966,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=10
0.8231881223618984,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=11
0.7938144914805889,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=11
0.8084733635187149,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=11
0.8241597674787045,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=12
0.799276951700449,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=12
0.8050990998744965,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=12
0.7903831899166107,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=13
0.7809278145432472,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=13
0.8558016382157803,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=13
0.8103491067886353,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=14
0.7752035483717918,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=14
0.8149717636406422,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=14
0.8010475896298885,0.125,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=15
0.774647943675518,0.125,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=15
0.8352068774402142,0.125,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.125:r=15
0.7621724493801594,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=0
0.854742020368576,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=0
0.7729759030044079,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=0
0.7387446276843548,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=1
0.7991973496973515,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=1
0.8624256253242493,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=1
0.715475944802165,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=2
0.7718030698597431,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=2
0.7815873101353645,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=2
0.7795021533966064,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=3
0.7637929655611515,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=3
0.8153810724616051,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=3
0.8266769200563431,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=4
0.8032718040049076,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=4
0.7976338714361191,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=4
