layer0_normalized_mse,layer1_normalized_mse,layer2_normalized_mse,layer3_normalized_mse,layer4_normalized_mse,layer5_normalized_mse,layer6_normalized_mse,layer7_normalized_mse,narrowband_start_index,sample_id
0.4137546122074127,0.8439212441444397,0.7568545937538147,0.8180051445960999,0.9171711206436157,0.9381005167961121,0.8980931639671326,0.9229236841201782,42,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=13
0.3184016942977905,0.7722206115722656,0.7723140716552734,0.8336670994758606,0.8388357162475586,0.8924689888954163,0.9524376392364502,0.9036388993263245,51,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=13
0.45070624351501465,0.7605010867118835,0.7487783432006836,0.7563432455062866,0.8431833982467651,0.9054407477378845,0.8707370758056641,0.85353684425354,25,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=14
0.2818198800086975,0.43913498520851135,0.7955402731895447,0.7659525871276855,0.9493380784988403,0.9079224467277527,0.8640589118003845,0.9142754673957825,26,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=14
0.3903065323829651,0.8943500518798828,0.8311225771903992,0.7546420693397522,0.8473523855209351,0.813488781452179,0.9384874105453491,0.874954879283905,24,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=14
0.4628140926361084,0.9281867742538452,0.9156590700149536,0.8066558837890625,0.8017604351043701,0.9327048063278198,0.9581841826438904,0.8912684321403503,41,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=15
0.43033367395401,0.580901563167572,0.58629310131073,0.8169769644737244,0.8455855250358582,0.9011481404304504,0.9233201742172241,0.9319640398025513,48,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=15
0.42557787895202637,0.754302442073822,0.834013044834137,0.8578840494155884,0.9534468650817871,0.9199722409248352,0.877468466758728,0.9595160484313965,41,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.125:r=15
0.28303685784339905,0.6871767044067383,0.7836682796478271,0.8192523717880249,0.8333241939544678,0.9407693147659302,1.017374038696289,0.9769516587257385,15,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=0
0.3902035653591156,0.7722455859184265,0.9517092704772949,0.8711094856262207,0.83148193359375,0.8711672425270081,0.9221840500831604,0.9121184945106506,44,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=0
0.37261441349983215,0.7133678197860718,0.8554143905639648,0.9116289019584656,0.70563805103302,0.8450912237167358,0.8046814799308777,0.8451426029205322,12,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=0
0.25635725259780884,0.7950151562690735,0.7642050385475159,0.7855728268623352,0.7045204043388367,0.9863821864128113,0.9004626870155334,0.7619177103042603,24,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=1
0.2757711112499237,0.9080950021743774,0.8824740648269653,0.843900203704834,0.8678576350212097,0.9647611975669861,0.9663735032081604,0.8513482213020325,42,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=1
0.3516460955142975,0.7887912392616272,0.8081337213516235,0.8466880917549133,0.8399650454521179,0.8383073210716248,0.9022225141525269,0.9053922891616821,11,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=1
0.18863844871520996,0.7648965716362,0.6768900156021118,0.8071874380111694,0.8433371782302856,0.8283586502075195,0.9414230585098267,0.8253968954086304,40,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=2
0.5431647896766663,0.9260970950126648,0.7715103030204773,0.839145302772522,0.9207051992416382,1.0002427101135254,0.8626318573951721,0.8804944157600403,6,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=2
0.39915427565574646,0.6721482276916504,0.7697293162345886,0.8095402121543884,0.8508361577987671,0.927075982093811,0.9044684171676636,0.9014034271240234,33,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=2
0.6356760263442993,0.9237595200538635,0.9720255136489868,0.9950769543647766,0.9047650694847107,0.8184128403663635,0.8655915260314941,0.9871456027030945,14,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=3
