delta_pesq,delta_si_sdr_db,delta_speaker_similarity,delta_stoi,delta_visqol,delta_waveform_snr_db,latent_loss,layer7_loss,mode,multi_resolution_stft_distance,output_dc_mean,output_peak,output_rms,pesq,si_sdr_db,speaker_similarity,stft_l1,stft_ratio,stoi,stoi_available,stoi_error,summed_cosine_similarity,summed_normalized_mse,summed_pearson_correlation,summed_power_ratio,summed_raw_mse,utterance_id,visqol,waveform_correlation,waveform_snr_db
,-13.78574651479721,,,,-3.079893946647644,1.0126419439911842,1.057518482208252,experiment_c_best_waveform,0.06026242673397064,-7.048911356832832e-05,0.08973117172718048,0.007037788163870573,,-13.20370864868164,,0.05763278529047966,1.8839403912017658,,False,pystoi is not installed,0.4454338252544403,0.8019796013832092,0.4454643726348877,0.21641510725021362,14.85910701751709,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/8842/304647/8842-304647-0008.flac,,-0.21363423764705658,-0.5472100973129272
,,,,,,,,clean_codec,0.07043154537677765,-6.653363379882649e-05,0.2739086449146271,0.05485856533050537,,5.88787841796875,,0.06683364510536194,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3000/15664/3000-15664-0010.flac,,0.8916643857955933,6.827053070068359
,-18.84920024871826,,,,-6.677080512046814,0.711820375174284,0.8334924578666687,experiment_a_best_latent,0.13793198764324188,-3.8081111597421113e-06,0.16210393607616425,0.019680574536323547,,-12.961321830749512,,0.1320788711309433,1.9762332418458328,,False,pystoi is not installed,0.7638528347015381,0.417297899723053,0.7638373970985413,0.5418747663497925,9.50672435760498,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3000/15664/3000-15664-0010.flac,,0.21939265727996826,0.1499725580215454
,-20.000320434570312,,,,-6.714114256203175,0.7144652269780636,0.8353450298309326,experiment_a_best_waveform,0.1401253342628479,-1.4557250324287452e-05,0.13153980672359467,0.0175167303532362,,-14.112442016601562,,0.1343972533941269,2.010922091444395,,False,pystoi is not installed,0.7600770592689514,0.42323562502861023,0.7600646615028381,0.531749963760376,9.641995429992676,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3000/15664/3000-15664-0010.flac,,0.19324727356433868,0.11293881386518478
,-50.2476921081543,,,,-7.2949614226818085,1.0661732703447342,1.1257449388504028,experiment_b_best_waveform,0.1730295866727829,-1.2155756849097088e-05,0.18683010339736938,0.01996386982500553,,-44.35981369018555,,0.16688445210456848,2.497012572656757,,False,pystoi is not installed,0.09432582557201385,1.0406579971313477,0.09434857964515686,0.10044855624437332,23.707881927490234,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3000/15664/3000-15664-0010.flac,,0.0060533019714057446,-0.4679083526134491
,-42.96479415893555,,,,-6.939254559576511,1.027323693037033,1.0759013891220093,experiment_c_best_waveform,0.17337357997894287,-5.61812448722776e-05,0.07263825088739395,0.008626708760857582,,-37.0769157409668,,0.1666536182165146,2.4935587151320027,,False,pystoi is not installed,0.3138909637928009,0.9017575979232788,0.3138965368270874,0.08821110427379608,20.54350471496582,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3000/15664/3000-15664-0010.flac,,-0.01399917807430029,-0.11220148950815201
,,,,,,,,clean_codec,0.23646068572998047,-0.0005053122295066714,0.5741272568702698,0.16165964305400848,,5.975652694702148,,0.2256418913602829,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3752/4944/3752-4944-0000.flac,,0.8934980630874634,6.94328498840332
,-9.864178657531738,,,,-5.477588653564453,0.7030671872198582,0.8376907110214233,experiment_a_best_latent,0.4188929498195648,-7.563417602796108e-05,0.45280545949935913,0.08455316722393036,,-3.88852596282959,,0.40440016984939575,1.7922211492354898,,False,pystoi is not installed,0.7665101885795593,0.4156215190887451,0.7663792371749878,0.5045279860496521,11.019579887390137,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3752/4944/3752-4944-0000.flac,,0.5385199785232544,1.4656963348388672
,-10.60976791381836,,,,-5.684612512588501,0.7070870622992516,0.8402509689331055,experiment_a_best_waveform,0.4323398470878601,-6.40383004792966e-05,0.39853599667549133,0.07767439633607864,,-4.634115219116211,,0.4178380072116852,1.8517749726912291,,False,pystoi is not installed,0.760285496711731,0.42448097467422485,0.7601777911186218,0.5042932033538818,11.254474639892578,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3752/4944/3752-4944-0000.flac,,0.5059304237365723,1.2586724758148193
,-37.271554946899414,,,,-6.998602315783501,1.0619214102625847,1.1214146614074707,experiment_b_best_waveform,0.5975768566131592,1.8818676835508086e-05,0.18288858234882355,0.02537134476006031,,-31.295902252197266,,0.5767235159873962,2.5559239576951627,,False,pystoi is not installed,0.08402517437934875,1.0388659238815308,0.0840955302119255,0.08900049328804016,27.543968200683594,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/3752/4944/3752-4944-0000.flac,,0.027229739353060722,-0.05531732738018036
