comparison,delta_equalized_symbol_nmse,delta_post_eq_sinr_empirical_db,delta_si_sdr_db,delta_stft_ratio,delta_summed_latent_nmse,delta_waveform_snr_db,nominal_snr_db,realization,utterance_index
A_to_B,0.3991244360804558,-6.98854398727417,-2.610718786716461,0.139312294022653,0.060632944107055664,-1.2504627704620361,10.0,0,3
A_to_B,0.08182427287101746,-2.5567941665649414,-1.2616108655929565,-0.008036373114372886,0.020054489374160767,-0.77492356300354,10.0,1,3
A_to_B,0.2854038402438164,-5.837193012237549,-6.685343265533447,0.04020123347465665,0.042858585715293884,-1.9249003566801548,10.0,0,4
A_to_B,0.3677450343966484,-6.658102989196777,-0.8336794376373291,-0.06351256558819984,0.02731470763683319,0.2818729132413864,10.0,1,4
A_to_B,0.5216102078557014,-8.104201555252075,1.1000802516937256,-0.012598978555014462,0.049961671233177185,1.1826114654541016,10.0,0,5
A_to_B,0.32518457621335983,-6.3693037033081055,-0.8852963522076607,0.1464336662128738,0.05624864995479584,-0.1091461181640625,10.0,1,5
A_to_B,0.2791684418916702,-5.725468635559082,-0.544583797454834,0.02396869498751908,0.024429209530353546,-0.4155697822570801,10.0,0,6
A_to_B,0.20468849688768387,-4.837378978729248,-1.3974905014038086,0.08267384822459123,0.051503345370292664,-1.048795223236084,10.0,1,6
A_to_B,0.06563538312911987,-2.1398348808288574,-0.37763452529907227,0.03612518710014179,0.008008122444152832,-0.3438682556152344,10.0,0,7
A_to_B,0.5071665197610855,-7.96934962272644,-1.75907564163208,0.16367134727424237,0.05762581527233124,-1.405240535736084,10.0,1,7
A_to_B,0.3394499644637108,-6.399126768112183,-0.13997364044189453,0.17034433655563608,0.04779985547065735,-0.1251373291015625,10.0,0,8
A_to_B,0.0165506973862648,-0.6589202880859375,-0.6047749519348145,0.009208907159332425,0.010427191853523254,-0.4645562171936035,10.0,1,8
A_to_B,0.004398323595523834,-0.19396114349365234,-1.5921030044555664,0.09069379885373574,0.0016583353281021118,-1.3857297897338867,10.0,0,9
A_to_B,0.33583954721689224,-6.371347665786743,-1.1568036079406738,0.17636910151150675,0.06742148101329803,-0.8434791564941406,10.0,1,9
A_to_B,0.4538579434156418,-7.505831480026245,-2.911982536315918,0.4075249050653653,0.07224102318286896,-1.9748969078063965,10.0,0,10
A_to_B,0.6112866029143333,-8.55465018749237,-0.42319250106811523,0.4131882096824613,0.2074802666902542,-0.4879574775695801,10.0,1,10
A_to_B,0.6108347699046135,-8.556814193725586,-0.7926778793334961,0.1602259461082054,0.051013752818107605,-0.15463566780090332,10.0,0,11
A_to_B,0.08322872221469879,-2.5880727767944336,0.1780087947845459,-0.0004001957510810783,0.01750209927558899,0.4177110195159912,10.0,1,11
A_to_B,0.02523075044155121,-0.9536819458007812,-1.2609329223632812,0.012736584104986903,0.0027620941400527954,-0.9483256340026855,10.0,0,12
A_to_B,0.6164927557110786,-8.593029260635376,-2.402432680130005,0.1799410036730309,0.05525815486907959,-1.7603507041931152,10.0,1,12
A_to_B,0.24498126655817032,-5.2667694091796875,-12.735065460205078,0.31542218550175516,0.16262367367744446,-0.29088664054870605,10.0,0,13
