burst_start_symbol,layer0_loss,layer1_loss,layer2_loss,layer3_loss,layer4_loss,layer5_loss,layer6_loss,layer7_loss,sample_id
18,0.27415844798088074,0.8009142875671387,0.8269071578979492,0.8507867455482483,0.9745532274246216,0.9552455544471741,0.9426149725914001,0.7903037071228027,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=9
0,0.30015087127685547,0.7299689054489136,0.775161623954773,0.8405960202217102,0.8503629565238953,0.8394721746444702,0.9528462290763855,0.9428307414054871,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=9
8,0.20355474948883057,0.8186890482902527,0.6412542462348938,0.7824322581291199,0.7759417295455933,0.6801137328147888,0.8578261137008667,0.8061996698379517,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=10
17,0.34699684381484985,0.7434839606285095,0.7276451587677002,0.8684503436088562,0.8493731021881104,0.85770583152771,0.8977771401405334,0.8843077421188354,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=10
23,0.40562137961387634,0.6252722144126892,0.9145799875259399,0.9130956530570984,0.811726450920105,0.9130155444145203,0.9072418212890625,0.8679896593093872,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=10
11,0.3920794725418091,0.8060505986213684,0.8256053328514099,0.9201401472091675,0.8451999425888062,0.9186009764671326,0.8615325093269348,0.8781631588935852,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=11
4,0.2977849245071411,0.7903133034706116,0.7686576843261719,0.9112688899040222,0.9084615111351013,0.88368821144104,0.8856841921806335,0.9368088245391846,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=11
17,0.3206946551799774,0.7645120024681091,0.9495581984519958,0.8652276396751404,0.8689153790473938,0.9754214286804199,0.8996477723121643,0.9432900547981262,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=11
6,0.4156370759010315,0.9458255767822266,0.9841402173042297,0.8524449467658997,0.8163159489631653,0.879496157169342,0.8534887433052063,0.9131312370300293,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=12
21,0.22186079621315002,0.7422046661376953,0.84051513671875,0.8335523009300232,0.9254075288772583,0.881470799446106,0.9388914108276367,0.8883387446403503,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=12
13,0.4572315514087677,0.8307862877845764,0.9025698900222778,0.8483749628067017,0.8143061399459839,0.9008682370185852,0.9638609886169434,0.9474211931228638,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=12
15,0.6112697720527649,0.926181435585022,0.9309738874435425,0.978927731513977,0.9308092594146729,0.9408812522888184,0.8798756003379822,0.9774568676948547,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=13
6,0.38209962844848633,0.8254644870758057,0.7450857162475586,0.8207308053970337,0.9247676730155945,0.9143649935722351,0.8784751892089844,0.9154103398323059,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=13
22,0.2614454925060272,0.7671531438827515,0.7603710889816284,0.8295243382453918,0.8388664126396179,0.8869137167930603,0.9350264668464661,0.8842251300811768,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=13
24,0.37095147371292114,0.7430837750434875,0.7332061529159546,0.7051329612731934,0.8256745338439941,0.9065524935722351,0.8724603056907654,0.842614471912384,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=14
20,0.2313767820596695,0.4238952100276947,0.7869550585746765,0.7546776533126831,0.948951005935669,0.9032716751098633,0.8583646416664124,0.9196261167526245,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=14
18,0.38589170575141907,0.8809871673583984,0.8330169916152954,0.7353244423866272,0.8514993190765381,0.8198360204696655,0.9471247792243958,0.884569525718689,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=14
23,0.4630080759525299,0.9621962308883667,0.9105592966079712,0.7983665466308594,0.784683346748352,0.8714317083358765,0.9723485708236694,0.8870909214019775,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=15
6,0.4214654564857483,0.5584783554077148,0.5885724425315857,0.8029661774635315,0.8833020329475403,0.8962402939796448,0.8988898396492004,0.9299010634422302,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=15
15,0.4048130512237549,0.7633423805236816,0.8288070559501648,0.8589174151420593,0.9590102434158325,0.9003599882125854,0.8859599232673645,0.9622771143913269,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.125:r=15
20,0.21442072093486786,0.6866114139556885,0.7291049361228943,0.8040393590927124,0.8203752040863037,0.9367212653160095,1.0095407962799072,0.9726752042770386,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=0
5,0.40024101734161377,0.8212159276008606,0.9576525092124939,0.8695676922798157,0.8288756012916565,0.8604162335395813,0.919995129108429,0.9008178114891052,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=0
6,0.3646443784236908,0.699312150478363,0.8048943877220154,0.9092782139778137,0.6963607668876648,0.8306527733802795,0.7993505597114563,0.8420670032501221,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=0
3,0.2678699493408203,0.8065110445022583,0.7219063639640808,0.741334855556488,0.6119325160980225,0.9876402020454407,0.8761784434318542,0.6216558218002319,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=1
14,0.24784059822559357,0.904792845249176,0.8756260871887207,0.8473698496818542,0.8619252443313599,0.9606173038482666,0.9446185827255249,0.7726438641548157,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=1
24,0.3037390112876892,0.761401355266571,0.7921366691589355,0.8485550284385681,0.8467882871627808,0.8309187293052673,0.9015800356864929,0.9088767766952515,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=1
17,0.15031884610652924,0.7198306918144226,0.705781877040863,0.791201114654541,0.8285088539123535,0.7243653535842896,0.9227322340011597,0.8006473183631897,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=2
23,0.4716102182865143,0.8955602049827576,0.7722218036651611,0.9122146964073181,0.9396231770515442,1.0011849403381348,0.861009418964386,0.8672022819519043,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=2
15,0.39614617824554443,0.7163708806037903,0.7730335593223572,0.815594494342804,0.834636390209198,0.9038851261138916,0.9052148461341858,0.9260043501853943,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=2
